datetime,avonmouth,avonmouth_docks_j,avonmouth_docks_k,bedminster,bishopsworth,bower_ashton,broadweir,cairns_road,clifton,cotham,eastville,feeder_road_a,feeder_road_b,kingweston,lockleaze,stock_bishop,st_pauls_j,st_pauls_k,woodland_way_j,woodland_way_k,filton_j,filton_k,whitchurch
01/01/2020 00:00,9.58900075,1.691,0,9.436644003,6.24431,7.631,2.733320593,17.15757,13.1005,5.08,7.41,22.3535,7.14,2.941,7.02772,5.3637,8.27545,14.3735,7.56,13.75,6.6918,10.1,12.3405
01/01/2020 00:30,10.01367355,1.7385,0,10.71744646,6.52212,8.468,2.703723257,19.58748,14.1075,5.12,8.42,24.0445,7.42,2.649,7.62185,5.92952,9.06015,15.694,8.22,14.94,6.83822,10.43,12.7965
01/01/2020 01:00,9.83497285,1.786,0,10.60433591,6.42624,8.4775,2.703723257,19.79857,14.4115,5.12,8.53,24.2345,7.48,2.705,7.76682,6.04067,9.17016,16.055,8.22,14.94,6.87402,10.34,12.711
01/01/2020 01:30,9.6549583,1.7005,0,10.2327637,6.28932,8.296,2.650770921,18.94072,14.3735,5.16,8.22,23.712,7.32,2.739,7.51621,5.84744,9.11012,15.656,7.9,14.36,6.8374,10.1,12.2455
01/01/2020 02:00,9.4337356,1.463,0,9.742861241,6.02327,8.0785,2.652260217,18.09655,13.8985,5.16,7.81,22.515,7.12,2.872,7.21886,5.67473,8.82816,15.2285,7.45,13.54,6.785,9.86,11.571
01/01/2020 02:30,9.16826665,1.368,0,9.483913476,5.89856,7.991,2.659529972,17.60711,13.813,5.17,7.55,21.4985,7.04,2.51,7.13792,5.5993,8.67521,14.801,7.15,13.12,6.7098,9.77,11.0865
01/01/2020 03:00,8.861638,1.045,0,9.224003453,5.63255,7.765,2.548963088,17.30102,13.471,5.17,7.19,20.691,6.84,2.056,6.89092,5.46934,8.56197,14.3735,6.76,12.41,6.49786,9.68,10.488
01/01/2020 03:30,8.56554675,1.045,0,8.891001163,5.42187,7.498,2.444492755,16.35501,12.977,5.16,6.63,19.817,6.64,2.611,6.54816,5.28238,8.07747,13.7275,6.46,11.87,6.436,9.4,10.127
01/01/2020 04:00,8.6932733,1.102,0,8.507978655,5.38322,7.2985,2.415589304,15.33015,12.6255,5.16,6.25,19.057,6.51,1.9,6.17101,4.83493,7.88994,13.471,6.16,11.34,6.235,9.3,10.07
01/01/2020 04:30,8.60890665,1.539,0,8.269881682,5.45746,7.024,2.387671477,14.90417,12.369,5.18,6.04,18.3065,6.39,1.75,6.00476,4.72435,7.44477,13.2905,5.82,10.84,6.2162,9.1,9.785
01/01/2020 05:00,8.5990694,1.5675,0,8.060974797,5.37827,6.871,2.352085038,14.55495,12.236,5.18,5.79,17.936,6.39,1.762,5.8957,4.63201,7.00853,12.939,5.62,10.48,6.1442,8.97,9.652
01/01/2020 05:30,8.54164665,1.558,0,8.129268491,5.56263,6.8445,2.58010188,14.50194,12.122,5.33,5.73,17.936,6.41,1.76,5.87195,4.57957,6.98117,12.977,5.56,10.36,6.117,9.05,9.595
01/01/2020 06:00,8.69198795,1.5865,0,8.204726633,5.712,6.966,2.58010188,14.49871,11.9985,5.44,5.71,17.86,6.35,1.81,5.86511,4.5638,7.07028,13.1385,5.58,10.39,6.119,9.26,9.6235
01/01/2020 06:30,9.0292655,1.5865,0,8.712721028,5.8629,7.157,2.929457204,14.99214,12.2265,5.56,5.89,18.4395,6.45,1.92,6.05473,4.66146,7.71039,14.041,5.78,10.76,6.1714,9.58,10.184
01/01/2020 07:00,9.21908215,1.216,0,8.92723351,5.88483,7.0705,2.929457204,15.13027,12.1885,5.66,5.94,18.6295,6.53,2.03,6.11325,4.66355,7.66346,13.851,5.88,10.92,6.24354,9.77,10.355
01/01/2020 07:30,9.05389805,1.1685,0,8.844877814,5.95003,7.2995,3.040887454,14.95642,12.1695,5.98,5.71,18.6485,6.82,2.12,6.01901,4.60636,7.58347,13.756,6,10.92,6.21798,9.97,10.431
