t,Avonmouth Docks,Avonmouth Primary,Bedminster,Bishopsworth,Bower Ashton,Broadweir Primary,Cairns Road,Clifton,Cotham Primary,Eastville,Feeder Rd 11kv,Feeder Road B,Filton DC,Kingsweston,Lockleaze,St Pauls Bsp 11kv,Stoke Bishop,Whitchurch,Woodland Way,Iron Acton,Seabank
2020-01-01 00:00:00,-1.691,-9.58900075,-9.436644003,-6.24431,-1.90775,-2.703723257,-17.15757,-13.1005,-5.08,-7.41,-22.3535,-7.14,-7.55631,-2.649,-7.02772,-22.64895,-5.3637,-8.021325,-13.8515,0,0
2020-01-01 01:00:00,-1.7005,-9.6549583,-10.2327637,-6.28932,-2.074,-2.650770921,-18.94072,-14.3735,-5.12,-8.22,-23.712,-7.32,-7.62183,-2.705,-7.51621,-24.76612,-5.84744,-7.959575,-14.469,0,0
2020-01-01 02:00:00,-1.368,-9.16826665,-9.483913476,-5.89856,-1.99775,-2.652260217,-17.60711,-13.813,-5.16,-7.55,-21.4985,-7.04,-7.41591,-2.51,-7.13792,-23.47621,-5.5993,-7.206225,-13.1755,0,0
2020-01-01 03:00:00,-1.045,-8.56554675,-8.891001163,-5.42187,-1.8745,-2.444492755,-16.35501,-12.977,-5.16,-6.63,-19.817,-6.64,-7.1262,-2.056,-6.54816,-21.80497,-5.28238,-6.58255,-11.9145,0,0
2020-01-01 04:00:00,-1.102,-8.60890665,-8.269881682,-5.38322,-1.756,-2.387671477,-14.90417,-12.369,-5.16,-6.04,-18.3065,-6.39,-6.89229,-1.75,-6.00476,-20.73527,-4.72435,-6.36025,-10.829,0,0
2020-01-01 05:00:00,-1.558,-8.54164665,-8.060974797,-5.37827,-1.711125,-2.352085038,-14.50194,-12.122,-5.18,-5.73,-17.936,-6.39,-6.80139,-1.76,-5.87195,-19.94753,-4.57957,-6.23675,-10.348,0,0
2020-01-01 06:00:00,-1.5865,-8.69198795,-8.204726633,-5.712,-1.7415,-2.58010188,-14.49871,-11.9985,-5.44,-5.71,-17.86,-6.35,-6.92055,-1.81,-5.86511,-20.20878,-4.5638,-6.255275,-10.3805,0,0
2020-01-01 07:00:00,-1.1685,-9.05389805,-8.844877814,-5.88483,-1.767625,-2.929457204,-14.95642,-12.1695,-5.66,-5.71,-18.6295,-6.53,-7.206093,-2.03,-6.01901,-21.33947,-4.60636,-6.73075,-10.92,0,0
2020-01-01 08:00:00,-1.1685,-9.17116985,-8.84298395,-7.03395,-1.77,-3.168436844,-15.6978,-12.2455,-5.96,-5.82,-18.677,-7.03,-7.476732,-1.96,-6.89453,-21.54847,-5.36427,-6.786325,-11.284,0,0
2020-01-01 09:00:00,-2.0615,-9.2871003,-8.86145493,-7.15438,-1.839375,-3.502408214,-16.51043,-12.5495,-6.14,-6.1,-20.0165,-7.25,-7.590105,-2.47,-7.18618,-21.85095,-5.61659,-7.243275,-12.8505,0,0
2020-01-01 10:00:00,-1.843,-9.9372078,-9.946596083,-7.82087,-2.053125,-3.959311846,-19.52383,-13.718,-6.2,-7.03,-22.3535,-7.65,-8.119449,-1.88,-7.8185,-23.50091,-6.05283,-8.31155,-14.95,0,0
2020-01-01 11:00:00,-1.9,-10.624314,-11.0014163,-7.85502,-2.271125,-4.801776916,-20.36211,-14.839,-6.23,-7.96,-24.7095,-8.07,-8.559432,-1.95,-8.04878,-25.35892,-6.00989,-9.32425,-16.8285,0,0
2020-01-01 12:00:00,-1.824,-11.13973,-11.74670533,-8.66503,-2.321,-5.503829468,-21.29558,-15.7795,-6.25,-8.71,-26.5725,-8.27,-8.686539,-1.95,-8.76907,-26.0737,-6.38362,-10.096125,-18.4405,0,0
2020-01-01 13:00:00,-2.128,-11.2972632,-12.18655229,-9.20694,-2.423125,-5.514165516,-22.65902,-16.169,-6.25,-9.24,-27.475,-8.59,-8.86077,-2.68,-9.11886,-27.11889,-6.63214,-10.50985,-19.136,0,0
2020-01-01 14:00:00,-1.8905,-11.13200325,-11.85071661,-9.12911,-2.38275,-5.56202848,-22.67897,-16.3685,-6.13,-9.24,-27.019,-8.53,-8.788194,-1.95,-9.15743,-26.91312,-6.66406,-10.33695,-18.5835,0,0
2020-01-01 15:00:00,-1.824,-11.5017585,-11.8000832,-9.16211,-2.371125,-5.526266636,-22.82318,-16.473,-6.11,-9.24,-27.0655,-8.45,-8.847657,-1.9,-9.21614,-26.88158,-6.59585,-10.269025,-18.486,0,0
2020-01-01 16:00:00,-1.9475,-11.57846215,-11.89243857,-9.34621,-2.385625,-5.418489446,-23.2864,-16.549,-6.09,-9.59,-28.0915,-8.45,-8.917407,-2.17,-9.64231,-27.24885,-6.82423,-10.553075,-19.162,0,0
2020-01-01 17:00:00,-1.9095,-13.18171645,-13.42216933,-10.12205,-2.592,-4.728887671,-25.57305,-17.1665,-6.11,-10.56,-31.3975,-8.7,-9.642123,-2.76,-10.20129,-29.12396,-7.46263,-11.86835,-21.8595,0,0
2020-01-01 18:00:00,-1.9,-13.0167974,-14.02518103,-10.48757,-2.694375,-3.987783695,-27.07671,-17.9265,-5.73,-11.19,-32.11,-8.37,-9.665469,-1.94,-10.74488,-28.58436,-8.23612,-11.911575,-22.5615,0,0
2020-01-01 19:00:00,-1.8905,-12.60184405,-13.49883546,-10.05665,-2.504375,-3.593537088,-25.77293,-17.404,-5.67,-10.55,-30.0865,-8.02,-9.44361,-1.954,-10.44487,-27.42232,-7.89735,-11.121175,-21.086,0,0
2020-01-01 20:00:00,-1.8905,-11.9645052,-12.6171365,-8.98963,-2.383,-3.355494201,-23.89079,-16.1785,-5.51,-9.92,-28.0725,-7.72,-9.07065,-2.181,-9.74491,-25.58483,-7.24907,-10.343125,-19.2985,0,0
2020-01-01 21:00:00,-1.482,-11.2325758,-11.59354428,-8.09487,-2.185875,-3.07164878,-22.14659,-15.2665,-5.36,-9.12,-25.9445,-7.32,-8.68626,-2.645,-8.9604,-23.88148,-6.65627,-9.565075,-17.459,0,0
2020-01-01 22:00:00,-2.0045,-10.8594823,-10.32159651,-7.1331,-1.962625,-2.877240055,-19.50046,-13.8985,-5.26,-8.28,-23.465,-6.95,-8.196003,-2.384,-7.94504,-22.41601,-5.98405,-8.3239,-15.2035,0,0
2020-01-01 23:00:00,-2.2135,-10.30961565,-9.277821035,-6.33719,-1.801375,-2.730358786,-16.80341,-12.5685,-5.18,-7.19,-21.223,-6.57,-7.644924,-3.374,-7.0224,-21.10102,-5.25084,-7.2124,-13.1105,0,0
2020-01-02 00:00:00,-2.0235,-9.9602066,-9.080676425,-6.06241,-1.79875,-2.574054529,-16.20491,-12.331,-5.1,-6.91,-20.9475,-6.48,-7.348455,-2.988,-6.54778,-21.54448,-4.99662,-7.05185,-12.493,0,0
2020-01-02 01:00:00,-2.5935,-10.057631,-9.265087335,-5.78,-1.908375,-2.602778461,-17.176,-13.0625,-5.1,-7.56,-21.6315,-6.51,-7.4772,-3.162,-7.00644,-22.6499,-5.48492,-7.0395,-12.636,0,0
2020-01-02 02:00:00,-2.2515,-9.8054991,-8.584086467,-5.39949,-1.827625,-2.47082799,-15.99933,-12.54,-5.14,-6.82,-20.045,-6.35,-7.23483,-2.279,-6.43986,-21.47494,-5.0198,-6.65665,-11.83,0,0
2020-01-02 03:00:00,-1.7005,-9.49239525,-8.100457939,-5.19633,-1.755875,-2.425691863,-14.80974,-12.0555,-5.15,-6.17,-18.7625,-6.23,-6.980202,-2.445,-5.99944,-19.47633,-4.69737,-6.403475,-11.05,0,0
2020-01-02 04:00:00,-1.9855,-9.4603622,-7.858124923,-5.17482,-1.64425,-2.42127548,-13.98381,-11.6755,-6.12,-5.64,-17.879,-6.12,-6.87663,-2.322,-5.70038,-18.64052,-4.30559,-6.1503,-10.283,0,0
2020-01-02 05:00:00,-1.748,-9.444292,-7.959051101,-5.2541,-1.63625,-2.559896927,-13.7731,-11.571,-6.08,-5.52,-17.879,-6.18,-6.88833,-2.373,-5.68062,-18.82045,-4.26284,-6.16265,-10.244,0,0
2020-01-02 06:00:00,-1.615,-10.0833912,-8.676633152,-5.86174,-1.724,-2.73213949,-14.67921,-12.1125,-6.39,-5.82,-19,-6.61,-7.19658,-2.497,-5.99336,-20.8107,-4.5296,-6.63195,-11.011,0,0
