t,Bristol Channel,Avonmouth Docks,Avonmouth Primary,Bedminster,Bishopsworth,Bower Ashton,Broadweir Primary,Cairns Road,Clifton,Cotham Primary,Eastville,Feeder Rd 11kv,Feeder Road B,Filton DC,Kingsweston,Lockleaze,St Pauls Bsp 11kv,Stoke Bishop,Whitchurch,Woodland Way
2020-01-01 00:00:00,2022.824472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01 01:00:00,18542.21178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01 02:00:00,36663.51797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01 03:00:00,28315.07393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01 04:00:00,7084.190973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01 05:00:00,34.34622461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01 06:00:00,1977.537838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01 07:00:00,14418.75296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01 08:00:00,27134.45789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01 09:00:00,24536.12897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01 10:00:00,10011.14665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01 11:00:00,623.1942245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01 12:00:00,430.9641093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01 13:00:00,11663.00101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01 14:00:00,33171.22492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01 15:00:00,34508.55531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01 16:00:00,13295.12208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01 17:00:00,629.0917533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01 18:00:00,506.0838258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01 19:00:00,9856.7439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01 20:00:00,24678.75585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01 21:00:00,27120.19929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01 22:00:00,14469.69235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01 23:00:00,2157.390472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-02 00:00:00,13.7356908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-02 01:00:00,5971.158076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-02 02:00:00,26414.72318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-02 03:00:00,37017.81842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
